ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?","Sold individually?",Virtual,Downloadable,"Regular price","Sale price",Categories,Tags,Position,"Meta: _dmc_calc"
,simple,FF-100,"Free Fire — 100 diamants",1,1,visible,"100 diamants crédités directement sur votre compte Free Fire.","<p>Recharge officielle de 100 diamants Free Fire, livrée sur le Player ID indiqué. Livraison automatique en quelques minutes après paiement.</p><p><strong>Où trouver mon Player ID ?</strong> Dans le jeu, touchez votre avatar en haut à gauche : l'identifiant est sous votre pseudo.</p>",none,1,1,1,0,165,,Jeux,"free-fire, jeux",1,"{""enabled"":1,""fields"":[{""id"":""player_id"",""label"":""Player ID"",""type"":""text"",""required"":1,""placeholder"":""Ex. 123456789"",""pattern"":""[0-9]{5,20}"",""min_length"":5,""max_length"":20,""description"":""Vérifiez bien : une recharge envoyée sur un mauvais identifiant n'est pas récupérable."",""help_text"":""Ouvrez Free Fire, touchez votre avatar en haut à gauche de l'écran d'accueil : l'ID est affiché sous votre pseudo.""}]}"
,simple,FF-310,"Free Fire — 310 diamants",1,1,visible,"310 diamants crédités directement sur votre compte Free Fire.","<p>Recharge officielle de 310 diamants Free Fire, livrée sur le Player ID indiqué.</p>",none,1,1,1,0,480,,Jeux,"free-fire, jeux",2,"{""enabled"":1,""fields"":[{""id"":""player_id"",""label"":""Player ID"",""type"":""text"",""required"":1,""placeholder"":""Ex. 123456789"",""pattern"":""[0-9]{5,20}"",""min_length"":5,""max_length"":20,""description"":""Vérifiez bien : une recharge envoyée sur un mauvais identifiant n'est pas récupérable."",""help_text"":""Ouvrez Free Fire, touchez votre avatar en haut à gauche de l'écran d'accueil : l'ID est affiché sous votre pseudo.""}]}"
,simple,FF-520,"Free Fire — 520 diamants",1,1,visible,"520 diamants, notre recharge la plus demandée.","<p>Recharge officielle de 520 diamants Free Fire, livrée sur le Player ID indiqué.</p>",none,1,1,1,0,800,750,Jeux,"free-fire, jeux",3,"{""enabled"":1,""fields"":[{""id"":""player_id"",""label"":""Player ID"",""type"":""text"",""required"":1,""placeholder"":""Ex. 123456789"",""pattern"":""[0-9]{5,20}"",""min_length"":5,""max_length"":20,""description"":""Vérifiez bien : une recharge envoyée sur un mauvais identifiant n'est pas récupérable."",""help_text"":""Ouvrez Free Fire, touchez votre avatar en haut à gauche de l'écran d'accueil : l'ID est affiché sous votre pseudo.""}]}"
,simple,FF-1060,"Free Fire — 1060 diamants",1,0,visible,"1060 diamants crédités directement sur votre compte Free Fire.","<p>Recharge officielle de 1060 diamants Free Fire, livrée sur le Player ID indiqué.</p>",none,1,1,1,0,1600,,Jeux,"free-fire, jeux",4,"{""enabled"":1,""fields"":[{""id"":""player_id"",""label"":""Player ID"",""type"":""text"",""required"":1,""placeholder"":""Ex. 123456789"",""pattern"":""[0-9]{5,20}"",""min_length"":5,""max_length"":20,""description"":""Vérifiez bien : une recharge envoyée sur un mauvais identifiant n'est pas récupérable."",""help_text"":""Ouvrez Free Fire, touchez votre avatar en haut à gauche de l'écran d'accueil : l'ID est affiché sous votre pseudo.""}]}"
,simple,PUBG-60,"PUBG Mobile — 60 UC",1,0,visible,"60 UC crédités sur votre compte PUBG Mobile.","<p>Recharge de 60 UC PUBG Mobile sur l'identifiant joueur indiqué.</p>",none,1,1,1,0,175,,Jeux,"pubg, jeux",5,"{""enabled"":1,""fields"":[{""id"":""player_id"",""label"":""ID joueur PUBG"",""type"":""text"",""required"":1,""placeholder"":""Ex. 5123456789"",""pattern"":""[0-9]{6,20}"",""help_text"":""Dans PUBG Mobile, ouvrez votre profil : l'ID est affiché sous votre pseudo.""}]}"
,simple,PUBG-325,"PUBG Mobile — 325 UC",1,0,visible,"325 UC crédités sur votre compte PUBG Mobile.","<p>Recharge de 325 UC PUBG Mobile sur l'identifiant joueur indiqué.</p>",none,1,1,1,0,850,,Jeux,"pubg, jeux",6,"{""enabled"":1,""fields"":[{""id"":""player_id"",""label"":""ID joueur PUBG"",""type"":""text"",""required"":1,""placeholder"":""Ex. 5123456789"",""pattern"":""[0-9]{6,20}"",""help_text"":""Dans PUBG Mobile, ouvrez votre profil : l'ID est affiché sous votre pseudo.""}]}"
,simple,MLBB-86,"Mobile Legends — 86 diamants",1,0,visible,"86 diamants sur votre compte Mobile Legends.","<p>Recharge de 86 diamants Mobile Legends: Bang Bang. Indiquez votre ID utilisateur et l'ID de zone (entre parenthèses dans le jeu).</p>",none,1,1,1,0,175,,Jeux,"mobile-legends, jeux",7,"{""enabled"":1,""fields"":[{""id"":""user_id"",""label"":""ID utilisateur"",""type"":""text"",""required"":1,""placeholder"":""Ex. 123456789"",""pattern"":""[0-9]{5,15}""},{""id"":""zone_id"",""label"":""ID de zone"",""type"":""text"",""required"":1,""placeholder"":""Ex. 1234"",""pattern"":""[0-9]{3,6}"",""help_text"":""Sur votre profil Mobile Legends, l'ID s'affiche sous la forme 123456789 (1234) : le premier nombre est l'ID utilisateur, celui entre parenthèses l'ID de zone.""}]}"
,simple,NFX-1M,"Netflix Premium — 1 mois",1,1,visible,"Un mois de Netflix en qualité 4K, activé sur votre e-mail.","<p>Abonnement Netflix Premium d'un mois. Après paiement, les identifiants ou l'activation sont envoyés à l'e-mail indiqué et restent visibles dans votre espace client.</p>",none,1,1,1,0,950,850,Abonnement,"netflix, streaming, abonnement",1,"{""enabled"":1,""fields"":[{""id"":""account_email"",""label"":""E-mail du compte"",""type"":""email"",""required"":1,""placeholder"":""nom@exemple.com"",""description"":""L'abonnement sera activé ou envoyé sur cet e-mail.""}]}"
,simple,SPOT-1M,"Spotify Premium — 1 mois",1,0,visible,"Musique sans pub, hors ligne, sur votre compte Spotify.","<p>Abonnement Spotify Premium d'un mois, appliqué sur votre compte existant.</p>",none,1,1,1,0,450,,Abonnement,"spotify, streaming, abonnement",2,"{""enabled"":1,""fields"":[{""id"":""account_email"",""label"":""E-mail du compte Spotify"",""type"":""email"",""required"":1,""placeholder"":""nom@exemple.com""}]}"
,simple,CANVA-1Y,"Canva Pro — 1 an",1,0,visible,"Canva Pro pendant 12 mois, invitation sur votre e-mail.","<p>Accès Canva Pro d'un an par invitation d'équipe, envoyé à l'e-mail indiqué.</p>",none,1,1,1,0,1500,,Abonnement,"canva, abonnement",3,"{""enabled"":1,""fields"":[{""id"":""account_email"",""label"":""E-mail Canva"",""type"":""email"",""required"":1,""placeholder"":""nom@exemple.com""}]}"
